source,target,relation,note
1.1,1.2,RELATED,"The two postulates jointly define special relativity, but neither is a prerequisite or derivation of the other."
1.1,2.1,PREREQUISITE,The principle of relativity is stated as the equivalence of the laws of physics in inertial frames.
3.1,1.1,DERIVES_FROM,The Lorentz transformations are derived by imposing the principle of relativity together with the constancy of the speed of light.
1.2,2.1,PREREQUISITE,The constancy of the speed of light is stated with respect to inertial frames.
3.1,1.2,DERIVES_FROM,The Lorentz transformations are derived by imposing invariant light speed together with the relativity principle.
3.2,1.2,PREREQUISITE,Understanding the invariant spacetime interval requires the idea that light speed defines the same null separation in all inertial frames.
1.2,3.3,RELATED,"The Minkowski metric encodes the light-cone structure associated with invariant light speed, but it is not derived from that postulate alone."
2.1,2.2,RELATED,"Inertial frames assign coordinates to spacetime events, but neither concept is a mathematical consequence or essential prerequisite of the other."
3.1,2.1,PREREQUISITE,Lorentz transformations relate the coordinate descriptions used by different inertial frames.
3.2,2.1,PREREQUISITE,The spacetime interval is defined using coordinates assigned in inertial frames and is invariant between them.
3.1,2.2,PREREQUISITE,Lorentz transformations act on the spacetime coordinates of events.
3.2,2.2,PREREQUISITE,The spacetime interval measures the separation between spacetime events.
4.3,2.2,PREREQUISITE,The position four-vector is formed by arranging the coordinates of a spacetime event into a four-vector.
1.2,2.3,RELATED,"Invariant light speed and locality together shape relativistic causal structure, but neither principle is derived from the other."
2.3,2.2,PREREQUISITE,The principle of locality is stated in terms of interactions at the same spacetime event.
2.3,3.4,RELATED,"Relativistic locality is associated with causal influence confined by light cones, but the light cone is defined geometrically rather than derived from locality alone."
3.1,3.2,DERIVES_FROM,Lorentz transformations can be characterised as the linear transformations that preserve the spacetime interval.
3.1,3.3,DERIVES_FROM,"In tensor form, Lorentz transformations are the transformations that preserve the Minkowski metric."
4.2,3.1,PREREQUISITE,Four-vectors are defined by their transformation law under Lorentz transformations.
3.2,3.3,DERIVES_FROM,The spacetime interval is obtained by contracting coordinate differences with the Minkowski metric.
3.3,4.2,RELATED,"The metric defines inner products of four-vectors, while four-vectors provide the objects on which the metric acts."
3.4,3.2,DERIVES_FROM,The light cone is the set of directions or separations for which the spacetime interval is zero.
3.5,2.2,PREREQUISITE,A Minkowski diagram represents spacetime events graphically using space and time axes.
4.1,2.1,PREREQUISITE,Proper time is computed from coordinate time and spatial displacement as measured in an inertial frame.
4.1,2.2,PREREQUISITE,Proper time is defined along a world-line between spacetime events.
4.1,3.1,PREREQUISITE,The invariance of proper time is understood through transformations between inertial frames.
4.1,3.2,DERIVES_FROM,"For timelike motion, proper time is obtained from the spacetime interval along the world-line."
4.2,2.1,PREREQUISITE,Four-vectors are defined by how their components transform between inertial frames.
4.3,4.2,PREREQUISITE,The position four-vector is a specific example of the general four-vector concept.
4.4,4.2,PREREQUISITE,The velocity four-vector is a specific example of the general four-vector concept.
4.5,4.2,PREREQUISITE,The momentum four-vector is a specific example of the general four-vector concept.
4.3,3.1,PREREQUISITE,The position four-vector is defined so that its components transform under Lorentz transformations.
3.2,4.3,RELATED,"The spacetime interval is computed from differences of position four-vectors, with the metric supplying the contraction."
4.4,4.1,PREREQUISITE,The velocity four-vector is defined using differentiation with respect to proper time.
4.4,4.3,DERIVES_FROM,The velocity four-vector is obtained by differentiating the position four-vector with respect to proper time.
4.5,4.4,DERIVES_FROM,The momentum four-vector is obtained by multiplying the velocity four-vector by the particle mass.
5.1,3.1,RELATED,"Relativistic actions must be compatible with Lorentz transformations, but the variational principle is not derived from them."
5.1,5.2,PREREQUISITE,The action principle is formulated by making stationary an action constructed from a Lagrangian.
5.2,3.2,PREREQUISITE,Relativistic Lagrangians are constructed from invariant quantities such as the spacetime interval.
5.2,4.2,PREREQUISITE,Lorentz-invariant Lagrangians are built using scalars formed from objects such as four-vectors.
5.3,5.2,PREREQUISITE,The Euler–Lagrange equations are equations for a specified Lagrangian.
5.3,5.1,DERIVES_FROM,The Euler–Lagrange equations are obtained by applying the stationary-action condition to variations of the path.
5.4,5.2,DERIVES_FROM,Hamiltonian formalism is obtained from the Lagrangian formulation by a Legendre transform.
5.4,5.3,RELATED,Hamiltonian and Euler–Lagrange formulations are equivalent descriptions of the same dynamics under suitable regularity conditions.
5.4,5.5,PREREQUISITE,Hamiltonian formalism requires introducing canonical momenta conjugate to the coordinates.
5.5,4.5,RELATED,"Canonical momentum and relativistic four-momentum are closely related momentum concepts, but they are distinct and need not coincide in interacting systems."
5.5,5.2,DERIVES_FROM,Canonical momentum is defined as the derivative of the Lagrangian with respect to the corresponding velocity.
5.6,5.1,PREREQUISITE,Noether’s theorem concerns continuous symmetries of the action and the conservation laws that follow from them.
9.4,5.6,DERIVES_FROM,"In field theory, the energy–momentum tensor can be obtained as the Noether current associated with spacetime translations."
6.1,2.2,PREREQUISITE,A scalar field is defined as assigning a value to each spacetime event.
6.1,3.1,PREREQUISITE,A relativistic scalar field is characterised by its invariance under Lorentz transformations.
6.1,4.2,RELATED,Scalar fields and four-vectors are contrasting transformation types: scalars are invariant while four-vectors have components that mix.
6.1,5.3,RELATED,"Scalar-field dynamics are commonly obtained using Euler–Lagrange equations, but the definition of a scalar field does not depend on them."
